,File,Commits
654,resources/lang/ar/model_validation.php,25
655,resources/lang/be/password_reset.php,25
656,resources/lang/el/password_reset.php,25
657,resources/js/oauth/client-details.tsx,25
658,app/Libraries/Countries.php,25
659,resources/views/users/show.blade.php,25
660,resources/lang/ro/beatmap_discussions.php,25
661,app/Http/Controllers/Chat/ChannelsController.php,25
662,app/Libraries/Search/MultiSearch.php,25
663,app/Libraries/UsernameValidation.php,25
664,database/migrations/2020_05_15_083037_sync_structure.php,25
665,resources/css/bem/beatmap-discussion-timestamp.less,25
666,resources/css/bem/tournament.less,25
667,resources/js/core-legacy/forum.coffee,25
668,resources/lang/es/legacy_api_key.php,25
669,resources/lang/vi/legacy_irc_key.php,25
670,app/Http/Controllers/WikiController.php,24
671,app/Http/Middleware/AuthApi.php,24
672,app/Http/Middleware/StripCookies.php,24
673,app/Libraries/CommentBundle.php,24
674,resources/lang/fr/artist.php,24
675,resources/lang/hu/scores.php,24
676,resources/lang/id/scores.php,24
677,resources/lang/it/scores.php,24
678,resources/js/core-legacy/sync-height.coffee,24
679,resources/lang/en/page_title.php,24
680,resources/lang/be/score_tokens.php,24
681,resources/js/beatmapsets-show/scoreboard/table.tsx,24
